YEAR,ROOKERY,COLONY,CAMERA,SPP,NEST,DATE,MAXN
2016-17,CS,3,3_1,3,1,11/15/2016,2
2016-17,CS,3,3_1,3,1,11/16/2016,2
2016-17,CS,3,3_1,3,1,11/17/2016,2
2016-17,CS,3,3_1,3,1,11/18/2016,2
2016-17,CS,3,3_1,3,1,11/19/2016,2
2016-17,CS,3,3_1,3,1,11/20/2016,2
2016-17,CS,3,3_1,3,1,11/21/2016,2
2016-17,CS,3,3_1,3,1,11/22/2016,2
2016-17,CS,3,3_1,3,1,11/23/2016,2
2016-17,CS,3,3_1,3,1,11/24/2016,1
2016-17,CS,3,3_1,3,1,11/25/2016,2
2016-17,CS,3,3_1,3,1,11/26/2016,1
2016-17,CS,3,3_1,3,1,11/27/2016,1
2016-17,CS,3,3_1,3,1,11/28/2016,1
2016-17,CS,3,3_1,3,1,11/29/2016,1
2016-17,CS,3,3_1,3,1,11/30/2016,1
2016-17,CS,3,3_1,3,1,12/1/2016,1
2016-17,CS,3,3_1,3,1,12/2/2016,1
2016-17,CS,3,3_1,3,1,12/3/2016,1
2016-17,CS,3,3_1,3,1,12/4/2016,1
2016-17,CS,3,3_1,3,1,12/5/2016,1
2016-17,CS,3,3_1,3,1,12/6/2016,1
2016-17,CS,3,3_1,3,1,12/7/2016,2
2016-17,CS,3,3_1,3,1,12/8/2016,1
2016-17,CS,3,3_1,3,1,12/9/2016,1
2016-17,CS,3,3_1,3,1,12/10/2016,1
2016-17,CS,3,3_1,3,1,12/11/2016,1
2016-17,CS,3,3_1,3,1,12/12/2016,1
2016-17,CS,3,3_1,3,1,12/13/2016,1
2016-17,CS,3,3_1,3,1,12/14/2016,1
2016-17,CS,3,3_1,3,1,12/15/2016,1
2016-17,CS,3,3_1,3,1,12/16/2016,2
2016-17,CS,3,3_1,3,1,12/17/2016,1
2016-17,CS,3,3_1,3,1,12/18/2016,1
2016-17,CS,3,3_1,3,1,12/19/2016,1
2016-17,CS,3,3_1,3,1,12/20/2016,1
2016-17,CS,3,3_1,3,1,12/21/2016,1
2016-17,CS,3,3_1,3,1,12/22/2016,1
2016-17,CS,3,3_1,3,1,12/23/2016,1
2016-17,CS,3,3_1,3,1,12/24/2016,1
2016-17,CS,3,3_1,3,1,12/25/2016,1
2016-17,CS,3,3_1,3,1,12/26/2016,1
2016-17,CS,3,3_1,3,1,12/27/2016,1
2016-17,CS,3,3_1,3,1,12/28/2016,1
2016-17,CS,3,3_1,3,1,12/29/2016,1
2016-17,CS,3,3_1,3,1,12/30/2016,2
2016-17,CS,3,3_1,3,1,12/31/2016,1
2016-17,CS,3,3_1,3,1,1/1/2017,1
2016-17,CS,3,3_1,3,1,1/2/2017,1
2016-17,CS,3,3_1,3,1,1/3/2017,1
2016-17,CS,3,3_1,3,1,1/4/2017,1
2016-17,CS,3,3_1,3,1,1/5/2017,1
2016-17,CS,3,3_1,3,1,1/6/2017,1
2016-17,CS,3,3_1,3,1,1/7/2017,1
2016-17,CS,3,3_1,3,1,1/8/2017,1
2016-17,CS,3,3_1,3,1,1/9/2017,1
2016-17,CS,3,3_1,3,1,1/10/2017,1
2016-17,CS,3,3_1,3,1,1/11/2017,1
2016-17,CS,3,3_1,3,1,1/12/2017,1
2016-17,CS,3,3_1,3,1,1/13/2017,1
2016-17,CS,3,3_1,3,1,1/14/2017,1
2016-17,CS,3,3_1,3,1,1/15/2017,1
2016-17,CS,3,3_1,3,1,1/16/2017,1
2016-17,CS,3,3_1,3,1,1/17/2017,1
2016-17,CS,3,3_1,3,1,1/18/2017,1
2016-17,CS,3,3_1,3,1,1/19/2017,1
2016-17,CS,3,3_1,3,1,1/20/2017,1
2016-17,CS,3,3_1,3,1,1/21/2017,1
2016-17,CS,3,3_1,3,1,1/22/2017,1
2016-17,CS,3,3_1,3,1,1/23/2017,1
2016-17,CS,3,3_1,3,1,1/24/2017,1
2016-17,CS,3,3_1,3,1,1/25/2017,1
2016-17,CS,3,3_1,3,1,1/26/2017,1
2016-17,CS,3,3_1,3,1,1/27/2017,4
2016-17,CS,3,3_1,3,2,11/12/2016,2
2016-17,CS,3,3_1,3,2,11/13/2016,2
2016-17,CS,3,3_1,3,2,11/14/2016,2
2016-17,CS,3,3_1,3,2,11/15/2016,2
2016-17,CS,3,3_1,3,2,11/16/2016,2
2016-17,CS,3,3_1,3,2,11/17/2016,2
2016-17,CS,3,3_1,3,2,11/18/2016,2
2016-17,CS,3,3_1,3,2,11/19/2016,2
2016-17,CS,3,3_1,3,2,11/20/2016,2
2016-17,CS,3,3_1,3,2,11/21/2016,2
2016-17,CS,3,3_1,3,2,11/22/2016,1
2016-17,CS,3,3_1,3,2,11/23/2016,1
2016-17,CS,3,3_1,3,2,11/24/2016,1
2016-17,CS,3,3_1,3,2,11/25/2016,1
2016-17,CS,3,3_1,3,2,11/26/2016,1
2016-17,CS,3,3_1,3,2,11/27/2016,1
2016-17,CS,3,3_1,3,2,11/28/2016,1
2016-17,CS,3,3_1,3,2,11/29/2016,1
2016-17,CS,3,3_1,3,2,11/30/2016,1
2016-17,CS,3,3_1,3,2,12/1/2016,1
2016-17,CS,3,3_1,3,2,12/2/2016,1
2016-17,CS,3,3_1,3,2,12/3/2016,1
2016-17,CS,3,3_1,3,2,12/4/2016,1
2016-17,CS,3,3_1,3,2,12/5/2016,1
2016-17,CS,3,3_1,3,2,12/6/2016,1
2016-17,CS,3,3_1,3,2,12/7/2016,1
2016-17,CS,3,3_1,3,2,12/8/2016,1
2016-17,CS,3,3_1,3,2,12/9/2016,1
2016-17,CS,3,3_1,3,2,12/10/2016,1
2016-17,CS,3,3_1,3,2,12/11/2016,1
2016-17,CS,3,3_1,3,2,12/12/2016,1
2016-17,CS,3,3_1,3,2,12/13/2016,1
2016-17,CS,3,3_1,3,2,12/14/2016,1
2016-17,CS,3,3_1,3,2,12/15/2016,1
2016-17,CS,3,3_1,3,2,12/16/2016,2
2016-17,CS,3,3_1,3,2,12/17/2016,1
